ID,DATE,VICTIM,GROUP,COUNTRY,LINK,ITALY,🇪🇺 EU/NIS2
,"January 29, 2025",Israel Ministry of National Security,Handala,Israel,mops.gov.il,,
,"January 29, 2025",Marshall & Bruce Printing,PLAY,USA,marbruco.com,,
,"January 29, 2025",Johnston LLC,PLAY,USA,johnstonllc.com,,
,"January 29, 2025",NG Automatics,Medusa,UK,ngautomatics.co.uk,,
,"January 29, 2025",SCV Med Group,MONTI,USA,scvmedicalgroup.com,,
,"January 29, 2025",Bowen & Burns,MONTI,USA,southamptonbusiness.org,,
,"January 29, 2025",Plymouth Foam,PLAY,USA,plymouthfoam.com,,
,"January 29, 2025",Aden Footwear,Medusa,Canada,adenfootwear.ca,,
,"January 29, 2025",Delta Screen & Filtration,Lynx,USA,delta-screens.com,,
,"January 29, 2025",Cahoon Farms,PLAY,USA,cahoonfarms.com,,
,"January 29, 2025",Premier Auto Credit,Cloak,USA,premierautocredit.com,,
,"January 29, 2025",daVinci Retail,PLAY,USA,davinciretail.com,,
,"January 29, 2025",Menominee Tribal Clinic,INCRansom,USA,mtclinic.org,,
,"January 29, 2025",Strategic Materials,Lynx,USA,sibelco.com,,
,"January 29, 2025",Boutin Jones,FOG,USA,boutindentino.com,,
,"January 29, 2025",Biagi Bros,Cactus,USA,biagibros.com,,
,"January 29, 2025",Addison Saws,Medusa,UK,addisonsaws.co.uk,,
,"January 29, 2025",Cimarron Telephone Company,PLAY,USA,cimtel.net,,
,"January 29, 2025",Philip Laney & Jolly,Medusa,UK,pljworcester.co.uk,,
,"January 29, 2025",Studio Dati Aziendali SAS,DragonForce,Italy,studiomontanini.com,🇮🇹,NIS2 🇪🇺
,"January 29, 2025",City of Beloit,INCRansom,USA,beloitwi.gov,,
,"January 29, 2025",ARDEX Australia,Medusa,Australia,ardexaustralia.com,,
,"January 29, 2025","Bogin, Munns & Munns",Qilin,USA,boginmunns.com,,
,"January 29, 2025",Tennessee Lottery,INCRansom,USA,tnlottery.com,,
,"January 29, 2025",Turning Leaf,INCRansom,USA,turningleafrehab.com,,
,"January 29, 2025",Versalys,Qilin,Canada,versalys.com,,
,"January 29, 2025",Del Packaging,Kairos,USA,delpackaging.com,,
,"January 29, 2025",Wallin & Klarich,PLAY,USA,wklaw.com,,
,"January 29, 2025",The Wendt Agency,Lynx,USA,thewendtagency.com,,
,"January 29, 2025",Commercial & Residential Management Group,PLAY,USA,crmgco.com,,
,"January 29, 2025",English Braids,Medusa,UK,englishbraids.com,,
,"January 30, 2025",Silverado Contractors,Lynx,USA,silveradocontractors.com,,
,"January 30, 2025",Night Hawk,PLAY,USA,nighthawkfoods.com,,
,"January 30, 2025",Engine Power Source,Lynx,USA,enginepowersource.com,,
,"January 30, 2025",Kombinat Media Gestalter (Gitlabs source codes),FOG,Austria,kombinat.at,,NIS2 🇪🇺
,"January 30, 2025",Perfect Plastic,akira,USA,perfectplastic.com,,
,"January 30, 2025",Benuta,akira,Germany,benuta.com,,NIS2 🇪🇺
,"January 30, 2025",Nenok GmbH,MONTI,Germany,nenok.com,,NIS2 🇪🇺
,"January 30, 2025",Tri-Sen Turbomachinery Controls,Lynx,USA,tri-sen.com,,
,"January 30, 2025",Soitin Laine Oy,ThreeAM,Finland,soitinlaine.fi,,NIS2 🇪🇺
,"January 30, 2025",Waggoner,Cloak,USA,waggonereng.com,,
,"January 30, 2025",Pay Ahmedabad e-Challan,KillSec,India,payahmedabadechallan.org,,
,"January 30, 2025",Tabletops Unlimited,Cactus,USA,ttucorp.com,,
,"January 30, 2025",Menway Groupe,akira,France,menway.com,,NIS2 🇪🇺
,"January 30, 2025",Centro Medico Enova,Cloak,Spain,centromedicoenova.com,,NIS2 🇪🇺
,"January 30, 2025",HE2B (Gitlabs source codes),FOG,Belgium,he2b.be,,NIS2 🇪🇺
,"January 30, 2025",C. H. Fenstermaker & Associates LLC,MONTI,USA,fenstermaker.com,,
,"January 30, 2025",Jaya Apparel Group,Cactus,USA,jayaapparelgroup.com,,
,"January 30, 2025",Prasaga Foundation (Gitlabs source codes),FOG,Switzerland,prasaga.com,,
,"January 30, 2025",Zschimmer and Schwarz,Termite,Germany,zschimmer-schwarz.com,,NIS2 🇪🇺
,"January 30, 2025",Alko Distributors,Cactus,USA,alkodistributors.com,,
,"January 30, 2025",Scott Engineering,Lynx,USA,scott-engineering.com,,
,"January 30, 2025",KPI Engineering,Lynx,USA,kpiengineering.com,,
,"January 30, 2025",OmeTV,APT73/BASHE,Portugal,ome.tv,,NIS2 🇪🇺
,"January 30, 2025",Ottawa Family Physicians,Qilin,Canada,ottawafamilyphysicians.com,,
,"January 30, 2025",Sunrise Soya Foods,Cactus,Canada,sunrise-soya.com,,
,"January 30, 2025",Jalaram Produce,Lynx,USA,jalaramproduce.com,,
,"January 31, 2025",Hexpol Group (Hexpol Compounding Americas),Qilin,Sweden,hexpol.com,,NIS2 🇪🇺
,"January 31, 2025",JohnPaulRichard,Cactus,USA,johnpaulrichard.com,,
,"January 31, 2025",Fox Construction Group,akira,UK,fcgukltd.com,,
,"January 31, 2025",Cannara Biotech,akira,Canada,cannara.ca,,
,"January 31, 2025",TeligentEMS,akira,USA,teligentems.com,,
,"January 31, 2025",A&D Hydra Clean & Restoration,akira,USA,adhydraclean.com,,
,"January 31, 2025",NJ Car,akira,USA,njcar.org,,
,"January 31, 2025",Farrar Corporation,DragonForce,USA,farrarusa.com,,
,"January 31, 2025",Swiss Cz,akira,Czech Republic,swissit.cz,,NIS2 🇪🇺
,"January 31, 2025",idre Fjall,akira,Sweden,idrefjall.se,,NIS2 🇪🇺
,"January 31, 2025",ISI Detention Contracting,akira,USA,"isisecurity.com ",,
,"January 31, 2025",Farmatodo,akira,Venezuela,farmatodo.com,,
,"January 31, 2025",Beauty Works Spa,Medusa,Canada,beautyworksspa.com,,
,"January 31, 2025",Greater Scranton Board of Realtors,akira,USA,scrantonrealtors.org,,
,"January 31, 2025",Empereon Constar,akira,USA,empereon-constar.com,,
,"January 31, 2025",Trimaco,Medusa,USA,trimaco.com,,
,"January 31, 2025",Omni Flow Computers,akira,USA,"omniflow.com ",,
,"January 31, 2025",Centerra co-op,akira,USA,centerracoop.com,,
,"January 31, 2025",ELF Productivity,akira,UK,elf.co.uk,,
,"January 31, 2025",Pembina Trails School Division,Rhysida,Canada,pembinatrails.ca,,
,"January 31, 2025",Right of Way Equipment,akira,USA,rightofwayequipment.net,,
,"January 31, 2025",X-Pans (Gitlabs source codes),FOG,France,x-pans.com,,NIS2 🇪🇺
,"January 31, 2025",Allbright Cotton,akira,USA,allbrightcotton.com,,
,"January 31, 2025",Jewish Federation of Greater Vancouver,akira,Canada,jfgv.ca,,
,"January 31, 2025",DKGR Architects,akira,USA,dkgrar.com,,
,"January 31, 2025",SCP Building Products,DragonForce,UK,scp-bp.co.uk,,
,"January 31, 2025",California Faucets,akira,USA,calfaucets.com,,
,"January 31, 2025",Iris Insurance Brokers,akira,UK,"irisib.com ",,
,"January 31, 2025","Kats, Jamison & Associates",DragonForce,USA,mkats.com,,
,"January 31, 2025",Simco Interiors,akira,USA,simcointeriors.com,,
,"January 31, 2025",w*****e.com,FSociety FLocker,Not Available,,,
,"January 31, 2025",Professional Computer (Gitlabs source codes),FOG,Thailand,pccth.com,,
,"January 31, 2025",Garce Fruit,akira,Chile,garcesfruit.com,,
,"January 31, 2025","BH Aircraft Company, Inc",Rhysida,USA,bhaircraft.com,,
,"January 31, 2025",Arena Technical Resources,akira,USA,atr.com,,
,"January 31, 2025",World Fabrics,akira,USA,worldfabricinc.com,,
,"January 31, 2025",Yhti (Your Home Town Internet Service),akira,USA,yhti.com,,
,"January 31, 2025",VSS Transportation Group,Cactus,USA,vsstransportationgroup.com,,
,"January 31, 2025",US GlobeCorp,DragonForce,USA,usglobecorp.com,,
,"January 31, 2025",Angotti & Reilly,DragonForce,USA,angotti-reilly.com,,
,"January 31, 2025",Hikari Seiko,Qilin,Japan,hikariseiko.com,,
,"January 31, 2025",SNADC,akira,USA,snadc.com,,
,"January 31, 2025",Land and Lakes Company,DragonForce,USA,land-and-lakes.com,,
,"January 31, 2025",Sullivan Griffith & Beatty,akira,USA,sgbllp.com,,
,"January 31, 2025",Andrew Lauren,akira,USA,andrewlauren.com,,
,"January 31, 2025",Ramsey Quantitative Systems,akira,USA,rqsi.com,,
,"January 31, 2025",Vanguard Paints & Finishes,akira,USA,vanguardpaints.com,,
,"January 31, 2025",Madison Forms,akira,USA,madisonforms.com,,
,"January 31, 2025",Akran Intellectual Property SRL,Qilin,Italy,akran.it,🇮🇹,NIS2 🇪🇺
,"January 31, 2025",Clark Power,akira,USA,clarkpower.com,,
,"January 31, 2025",Propulsion Academy (Gitlabs source codes),FOG,Switzerland,academy.constructor.org,,
,"January 31, 2025",Southeast Supply,8base,USA,southeastsupplytn.com,,
,"January 31, 2025",Engineering Design Initiative,DragonForce,USA,edi-dolejs.com,,
,"January 31, 2025",IBP,akira,USA,ibp.com,,
,"January 31, 2025",Dolmor Salon,Medusa,Canada,dolmor.com,,
,"January 31, 2025",Atlantic Electrics,akira,UK,atlanticelectrics.co.uk,,
,"January 31, 2025",Fayez Spa,Medusa,Canada,fayezspa.com,,
